gene_id	limma_logFC	limma_AveExpr	limma_t	limma_pvalue	limma_padj	limma_B	ensembl_gene_id	limma_significant
ENSG00000279416	1.0712186261444714	-0.6620619682800799	4.734403387673911	3.4267905204505464e-5	3.729010164626291e-4	2.283930872038285	ENSG00000279416	upregulated
ENSG00000223648	3.95775120532603	0.6544563554564595	4.747681505572332	3.453495393751117e-5	3.750960333128839e-4	2.256420238814912	ENSG00000223648	upregulated
ENSG00000148926	2.015535808466928	4.910738932615241	4.747409339480006	3.4563135397905033e-5	3.7513941918929816e-4	1.7259962651114815	ENSG00000148926	upregulated
ENSG00000249992	1.7620398311297207	1.8952697267561949	4.738288736289411	3.475386473617326e-5	3.7694576367695615e-4	2.122433133538607	ENSG00000249992	upregulated
ENSG00000197093	-1.2655022050463147	1.6298610381652368	-4.723026142974492	3.546700677891002e-5	3.8360758378026106e-4	2.1280894923464393	ENSG00000197093	downregulated
ENSG00000278196	2.207267801766146	4.165879527865935	4.733717997478391	3.601056968953841e-5	3.892152863308298e-4	1.7954027123913896	ENSG00000278196	upregulated
ENSG00000183134	-1.6185774606844572	2.2928271223462247	-4.7188578596126245	3.679650213127734e-5	3.96328991705633e-4	2.028551260159084	ENSG00000183134	downregulated
ENSG00000117560	-1.30631305179199	3.1273045753522055	-4.714902834667912	3.7122415467392153e-05	3.9910747289830325e-4	1.905011929319068	ENSG00000117560	downregulated
ENSG00000135960	-1.3379649111643288	2.7938329125767103	-4.707534955089594	3.7862747870278826e-5	4.05346831687168e-4	1.9322731221334148	ENSG00000135960	downregulated
ENSG00000115129	1.0279236280143196	3.6975074095401514	4.706535565097099	3.786895932396559e-5	4.05346831687168e-4	1.7809734546510558	ENSG00000115129	upregulated
ENSG00000281106	-1.3929973223560919	0.05195367467636527	-4.695240314571964	3.857267507261647e-5	4.1061234754720757e-4	2.1581724358310073	ENSG00000281106	downregulated
ENSG00000240671	2.5611170849452716	2.792361323827614	4.70873447817085	3.8808071735624173e-5	4.125518797940582e-4	1.9252444412705563	ENSG00000240671	upregulated
